Package,LibPath,Version,Priority
numDeriv,C:/Program Files/R/R-3.4.0/library,2016.8-1,NA
openssl,C:/Program Files/R/R-3.4.0/library,1.0,NA
parallel,C:/Program Files/R/R-3.4.0/library,3.4.0,base
pillar,C:/Program Files/R/R-3.4.0/library,1.3.0,NA
pkgconfig,C:/Program Files/R/R-3.4.0/library,2.0.2,NA
plogr,C:/Program Files/R/R-3.4.0/library,0.2.0,NA
plotly,C:/Program Files/R/R-3.4.0/library,4.7.1,NA
pls,C:/Program Files/R/R-3.4.0/library,2.6-0,NA
plyr,C:/Program Files/R/R-3.4.0/library,1.8.4,NA
pROC,C:/Program Files/R/R-3.4.0/library,1.11.0,NA
processx,C:/Program Files/R/R-3.4.0/library,3.2.0,NA
prodlim,C:/Program Files/R/R-3.4.0/library,2018.04.18,NA
ps,C:/Program Files/R/R-3.4.0/library,1.1.0,NA
purrr,C:/Program Files/R/R-3.4.0/library,0.2.4,NA
R6,C:/Program Files/R/R-3.4.0/library,2.2.2,NA
RColorBrewer,C:/Program Files/R/R-3.4.0/library,1.1-2,NA
Rcpp,C:/Program Files/R/R-3.4.0/library,0.12.18,NA
RcppEigen,C:/Program Files/R/R-3.4.0/library,0.3.3.3.0,NA
RcppRoll,C:/Program Files/R/R-3.4.0/library,0.3.0,NA
readr,C:/Program Files/R/R-3.4.0/library,1.1.1,NA
readxl,C:/Program Files/R/R-3.4.0/library,1.1.0,NA
recipes,C:/Program Files/R/R-3.4.0/library,0.1.3,NA
rematch,C:/Program Files/R/R-3.4.0/library,1.0.1,NA
reprex,C:/Program Files/R/R-3.4.0/library,0.2.1,NA
reshape2,C:/Program Files/R/R-3.4.0/library,1.4.2,NA
rJava,C:/Program Files/R/R-3.4.0/library,0.9-8,NA
rlang,C:/Program Files/R/R-3.4.0/library,0.2.2,NA
rmarkdown,C:/Program Files/R/R-3.4.0/library,1.10,NA
robustbase,C:/Program Files/R/R-3.4.0/library,0.93-2,NA
rpart,C:/Program Files/R/R-3.4.0/library,4.1-11,recommended
rprojroot,C:/Program Files/R/R-3.4.0/library,1.3-2,NA
RSNNS,C:/Program Files/R/R-3.4.0/library,0.4-10,NA
rstudioapi,C:/Program Files/R/R-3.4.0/library,0.8,NA
rvest,C:/Program Files/R/R-3.4.0/library,0.3.2,NA
scales,C:/Program Files/R/R-3.4.0/library,0.4.1,NA
selectr,C:/Program Files/R/R-3.4.0/library,0.4-1,NA
sfsmisc,C:/Program Files/R/R-3.4.0/library,1.1-2,NA
shiny,C:/Program Files/R/R-3.4.0/library,1.0.5,NA
sourcetools,C:/Program Files/R/R-3.4.0/library,0.1.6,NA
spatial,C:/Program Files/R/R-3.4.0/library,7.3-11,recommended
splines,C:/Program Files/R/R-3.4.0/library,3.4.0,base
SQUAREM,C:/Program Files/R/R-3.4.0/library,2017.10-1,NA
stats,C:/Program Files/R/R-3.4.0/library,3.4.0,base
stats4,C:/Program Files/R/R-3.4.0/library,3.4.0,base
stringi,C:/Program Files/R/R-3.4.0/library,1.1.5,NA
stringr,C:/Program Files/R/R-3.4.0/library,1.2.0,NA
survival,C:/Program Files/R/R-3.4.0/library,2.41-3,recommended
tcltk,C:/Program Files/R/R-3.4.0/library,3.4.0,base
tibble,C:/Program Files/R/R-3.4.0/library,1.4.2,NA
tidyr,C:/Program Files/R/R-3.4.0/library,0.8.1,NA
tidyselect,C:/Program Files/R/R-3.4.0/library,0.2.4,NA
tidyverse,C:/Program Files/R/R-3.4.0/library,1.2.1,NA
timeDate,C:/Program Files/R/R-3.4.0/library,3043.102,NA
